Система должна обнаружить уязвимости SQL и уязвимости XSS для данного веб-сайта или веб-приложения	Как пользователь, я хочу ввести URL, чтобы проанализировать его на наличие уязвимостей.
Система позволит разоблачителю отправлять дайджест сообщения (подпись M +), используя свой мобильный телефон в Комиссию по борьбе с коррупцией Зимбабве	Как пользователь, я смогу быстро и безопасно отправлять сообщения в контролирующие органы, поддерживая конфиденциальность.
Система позволит Антикоррупционной комиссии Зимбабве проверить подпись, используя общественный ключ группы, чтобы убедиться, что она действительно исходила от организации без знания реального подписавшегося	Как пользователь, работающий в комиссии, я смогу подтвердить достоверность сообщений, сохраняя анонимность подписчика.
Система должна хорошо работать в веб-средах	Как пользователь, я смогу получить доступ к системе через браузер, что обеспечит удобное использование.
Система должна адаптироваться ко всем типам применения	Как пользователь, я смогу использовать систему для различных сценариев и задач без необходимости адаптации.
Система должна обеспечить устойчивость и восстановление, минимизируя проблемы с балансом времени развития	Как пользователь, я могу быть уверен, что система будет работать без сбоев даже при увеличенной нагрузке.
Система должна быть простой и удобной для пользователя	Как пользователь, я смогу легко понять и использовать систему без дополнительных тренингов.
Система должна обеспечить хорошее поведение производительности и ресурсов, измеряя статические атрибуты качества приложения для прогнозирования потенциальных узких мест работы и будущих проблем масштабирования	Как пользователь, я буду иметь уверенность в стабильной работе системы даже при увеличении числа пользователей.
Система должна обеспечить легкую обслуживаемость, применяя лучшие практики в документации и избежание сложности	Как пользователь, я смогу быстро находить необходимые разделы в документации, что облегчит обслуживание системы.
Система должна быть легко перенесена в другую среду с возможностью установки	Как пользователь, я смогу без труда перенастроить систему на другом оборудовании или операционной системе.
Система должна контролировать движение через камеры	Как пользователь, я смогу следить за движением в определенной зоне, что повысит уровень безопасности.
Система должна сохранять видео-журналы, которые фиксируют только движение	Как пользователь, я смогу пересматривать только актуальные записи, что существенно сэкономит место на хранилище.
Система должна сообщать о движении и предупреждать ответственные стороны после анализа условий без помощи датчиков обнаружения внешнего движения	Как пользователь, я смогу получать своевременные уведомления о потенциальных угрозах без необходимости установки дополнительных датчиков.
Система должна обеспечивать умеренную и высокую производительность из-за ограниченного использования ресурсов, используя сборщик мусора для случаев, когда компилятор может создать неэффективный код	Как пользователь, я смогу наслаждаться быстрым и стабильным функционированием системы, даже если ресурсы ограничены.
Система должна использовать многопоточность экономно, чтобы увеличить производительность системы, не замедляя оборудование низкого класса	Как пользователь, я смогу одновременно выполнять несколько задач без негативного влияния на производительность.
Система должна быть удобна для очень маленькой кривой обучения	Как пользователь, я смогу быстро освоить систему и начать ее использование без длительного обучения.
Интуитивно понятный дизайн интерфейса системы сделает работу программного обеспечения легкой и быстрой	Как пользователь, я смогу легко находить нужные функции и команды, что повысит общую производительность.
Система должна предоставить подробное руководство по использованию, поскольку кривая обучения оказалась слишком крутой для некоторых пользователей	Как пользователь, я смогу обратиться к четким инструкциям, что поможет быстро освоить систему.
Система должна быть развернута в любой системе с правильной версией Python и соответствующими зависимыми нестандартными библиотеками, но проще, если упакована с использованием Flodesk	Как пользователь, я смогу быстро установить и запустить систему без необходимости глубоких технических знаний о Python.
Система должна быть подлежит обслуживанию путем обеспечения соблюдения модульности, которая создает компоненты системы слабо связаны, чтобы они могли быть модифицированы независимо и реинтегрированы в систему	Как пользователь, я смогу легко обновлять отдельные части системы, не беспокоясь о том, что это повлияет на всю функциональность.
Система должна поддерживать строгую документацию, включая комментарии в исходном коде, чтобы сделать код легко изменяемым и отлаживаемым	Как пользователь, я смогу быстро найти нужные части кода или понять логику работы системы, что упростит задачи отладки и внесения изменений.
Система должна разрешить мониторинг сетевого трафика в режиме реального времени, захватывая входящий и исходящий TCP и HTTP (HTTPS) трафик и веб-трафик TLS, чтобы сопоставить его с настроенным черным списком CryptoJacking	Как пользователь, я смогу обнаруживать и реагировать на вредоносный трафик мгновенно, повышая безопасность своей сети.
Система должна проанализировать TCP и HTTPS и TLS веб-трафик для обнаружения сетевых соединений с известными пулами добычи криптовалют или поставщиками услуг, такими как BTCCOM и Coinhive	Как пользователь, я получу возможность идентифицировать потенциальные угрозы, что позволит избежать ущерба от незнакомых соединений.
Система должна создать снимок обычного среднего процента использования процессора пользователя, чтобы впоследствии быть использованным в качестве базы для сравнения, позволяя обнаружить огромное увеличение нагрузки ЦП, вызванное криптохингом	Как пользователь, я смогу отслеживать аномалии в производительности благодаря заранее собранным данным об использовании процессора.
Система должна отслеживать использование процессора для обнаружения пиков в использовании, вызванных криптохингом, путем постоянного чтения текущего процента использования процессора компьютера и сравнения его с базовой линией использования, чтобы обнаруживать экстремальные всплески или отклонения	Как пользователь, я смогу оперативно реагировать на нагрузки, которые выходят за пределы нормы, предотвращая возможные замедления работы.
Система должна создать всплывающее уведомление, сообщающее о обнаруженной активности криптохинга	Как пользователь, я буду мгновенно уведомлен о подозрительной активности, что поможет мне быстро реагировать на угрозы.
Система должна автоматически отправлять оповещения по электронной почте о обнаруженной деятельности криптохинга	Как пользователь, я смогу получать уведомления вне зависимости от того, где я нахожусь, что гарантирует постоянный мониторинг.
Система должна разрешить пользователю установить пароль с изменением электронной почты, чтобы впоследствии его запрашивали при попытке изменить адрес электронной почты	Как пользователь, я буду защищен от несанкционированных изменений учетной записи, что повысит безопасность моих данных.
Система должна позволить приложению CryptoJacking быть остановленным, если пользователь явно не выберет, чтобы проигнорировать приложение CryptoJacking	Как пользователь, я смогу контролировать работу системы и отключать её в случае необходимости для повышения безопасности.
Система должна обнаруживать домены или заявки на криптохинг, которые должны быть зарегистрированы вместе с датой и временем обнаружения	Как пользователь, я смогу отслеживать и анализировать все зарегистрированные угрозы, что повышает безопасность через ведение журнала инцидентов.
Система должна быть в состоянии быстро обнаружить криптохинг во время актуального мониторинга	Как пользователь, я могу быть уверен, что система будет оперативно реагировать на угрозы, что позволит предотвращать вредоносные действия.
Система не должна потреблять значительно высокие ресурсы процессора	Как пользователь, я смогу успешно выполнять другие задачи на своем устройстве, не испытывая снижения производительности.
Система должна работать с минимальными накладными расходами на ЦП	Как пользователь, я смогу оптимально использовать системные ресурсы, что особенно важно для устройств с ограниченными возможностями.
Система должна быть простой в использовании даже для обычных пользователей с удобным для пользователя интерфейсом	Как пользователь, я смогу легко навигировать по системе без специальных технических навыков, что делает её доступной для широкой аудитории.
Система должна позволять легко изучить и понять, как эффективно использовать систему	Как пользователь, я смогу быстро освоить функционал системы, что повысит эффективность работы с ней.
Система должна быть надежной при обнаружении известной активности вредоносных программ в криптохинге	Как пользователь, я буду чувствовать себя защищенным, зная, что система эффективно обнаруживает и реагирует на известные угрозы.
Система должна быть совместима с компьютерными системами под управлением операционной системы Microsoft Windows	Как пользователь, я смогу установить и использовать систему на большинстве популярных компьютеров без дополнительных затрат на оборудование или софт.
Система должна сохранить конфиденциальность пользователя, не публикуя контролируемый сетевой трафик и не разоблачая зарегистрированный адрес электронной почты пользователя	Как пользователь, я могу быть уверенным в безопасности своих данных, зная, что вся информация остается конфиденциальной.
Система должна гарантировать, что только авторизованный пользователь может изменить зарегистрированный адрес электронной почты для получения предупреждений о криптожек	Как пользователь, я буду уверен, что только я могу вносить изменения в важные настройки своей учетной записи, что повышает уровень безопасности.
Система должна предложить возможность измерения прочности пароля, чтобы предложить улучшения безопасности пароля	Как пользователь, я смогу создавать более надежные пароли, защищая свою учетную запись от потенциальных атак.
Система не должна нарушать законы, не нарушая конфиденциальность конфиденциальной информации пользователя и прав интеллектуальной собственности	Как пользователь, я могу быть уверен, что мои данные защищены и система соответствует всем юридическим требованиям.
Система должна использовать двустороннюю систему аутентификации, объединив деятельность клавиатуры и биометрику движения мыши для повышения безопасности	Как пользователь, я буду иметь дополнительный уровень защиты, что минимизирует риск несанкционированного доступа к моей учетной записи.
Система должна запечатлеть шаблон печатания клавиатуры пользователя и шаблон движения мыши во время регистрации	Как пользователь, я смогу использовать уникальные паттерны, что увеличивает защищенность моей учетной записи при входе.
Система должна быть извлечена уникальными функциями с использованием наборов данных	Как пользователь, я буду уверенным в том, что мой профиль полностью уникален, что снижает вероятность ложного доступа.
Система должна изучить уникальный шаблон пользователя, используя алгоритмы Naive Bayes и шаблон Storete в базе данных	Как пользователь, я смогу получать более точные результаты распознавания, что улучшает опыт взаимодействия с системой.
Система должна разрешать извлекать функции, в которых входит вход пользователей, чтобы проверка подлинности пользователя происходила успешно, и, в случае несоответствия, доступ будет отказан	Как пользователь, я получу безопасный процесс входа, что предотвратит доступ для недобросовестных пользователей.
Система должна разрешить проверку эффективности приложения с точки зрения времени реагирования на пропускную способность с разными интервалами после развертывания группой поддержки клиентов	Как пользователь, я смогу оценивать производительность системы и вносить необходимые улучшения, что повышает общую удовлетворенность.
Система должна всегда допускать эксплуатацию	Как пользователь, я буду иметь возможность использовать систему без неожиданных простоев или сбоев, что обеспечивает непрерывный доступ к функционалу.
Система должна быть протестирована несколькими тестами, такими как стресс-тестирование, чтобы избежать ошибок в проверке пользователя	Как пользователь, я смогу быть уверенным, что система надежна и устойчива к нагрузкам, что гарантирует её корректное функционирование в любых условиях.
Система должна гарантировать, что время простоя Интернета не повлияет на его доступность, поскольку любой пользователь всё еще может быть предоставлен или запрещён доступ к системе	Как пользователь, я смогу управлять доступом к системе даже при сбоях интернет-соединения, что повышает уровень контроля.
Система должна обойти электроэнергетические проблемы с использованием ИБП (непрерывного источника питания)	Как пользователь, я могу быть уверен, что система останется доступной даже при перебоях в электропитании, обеспечивая непрерывность работы.
Система должна быть в состоянии отличить законного пользователя от незаконного, используя уникальную поведенческую биометрию	Как пользователь, я смогу получить дополнительную защиту благодаря уникальной технологии, которая распознает моё поведение и предотвращает несанкционированный доступ.
Система должна обеспечить, чтобы конфиденциальная информация была доступна только для нужных людей	Как пользователь, я буду иметь уверенность в защите своих данных от посторонних глаз, что повышает уровень безопасности.
Система должна быть легко поддерживаемой в приложении, которое имеет четкое разделение своей базы данных и логического кода от системы, чтобы её было легко поддерживать, не влияя на всю систему	Как пользователь, я смогу собирать и обновлять её модули отдельно, что упрощает техническое обслуживание.
Система должна поддерживаться частыми обновлениями	Как пользователь, я получу новые функции и улучшения без необходимости длительных простоев, что улучшает мой опыт работы с системой.
Система должна быть создана для совместимости со многими операционными системами, такими как Windows, Android и Linux	Как пользователь, я смогу использовать систему на различных устройствах, что обеспечивает гибкость и доступность.
Система должна выполнять проверку для определения прав пользователя и доступа	Как пользователь, я буду уверен, что имею доступ только к тем функциям и данным, к которым я имею право, что предотвращает несанкционированный доступ.
Система должна вести журналы для каждой операции, выполняемой пользователем, для аудита	Как пользователь, я получу возможность отслеживать свою активность и действия в системе, что улучшает возможность анализа и соблюдения безопасности.
Система должна дать обновление баланса, оставленного после каждого вычета платных с помощью SMS-отчетности	Пользователь сможет своевременно получать информацию о своем балансе, что помогает лучше контролировать свои финансы.
Система разрешает добавлять нового пользователя и обновлять текущие	Пользователь сможет управлять своей учетной записью и добавлять новых участников, что позволяет эффективно настраивать систему под свои нужды.
Система сможет показать все бизнес-единицы, которые зарегистрированы, прежде чем пользователь делает выбор	Пользователь сможет видеть все доступные опции перед выбором, что упростит процесс принятия решения.
Система должна быть в состоянии создавать отчеты из деятельности в системе	Пользователь сможет получать подробные отчеты о действиях в системе, что улучшает анализ и мониторинг эффективности.
Система должна разрешать отправлять SMS с задержкой не более часа от такого действия	Пользователь получит гарантированное быстрое реагирование на действия с помощью SMS-уведомлений, что повысит информированность.
Система должна позволить пользователю доступ к данным или ресурсам в указанном месте и в правом формате всегда	Пользователь сможет быстро находить нужные данные, что повысит эффективность работы с системой.
Система должна иметь модульный дизайн для корректирующего, совершенного, адаптивного и профилактического обслуживания	Пользователь получит возможность легко модифицировать и обновлять систему, не нарушая ее функционирование.
Система должна быть переносной и легко перемещаться из одной компьютерной среды в другую	Пользователь сможет использовать систему на разных устройствах и платформах без лишних усилий, что повысит гибкость.
Система разрешает вводить имя человека, чьи детали и PII должны быть искажены	Пользователь сможет эффективно управлять конфиденциальной информацией, обеспечивая безопасность личных данных.
Система разрешает веб-приложению доступ к общественным профилям социальных сайтов	Пользователь сможет интегрировать свои аккаунты в социальных сетях с системой, что упростит взаимодействие с другими пользователями.
Система разрешает Selenium взаимодействовать с веб-приложениями	Пользователь сможет использовать автоматизированные тесты для взаимодействия с веб-сайтами, что облегчает процессы тестирования и разработки.
Система должна допускать сохранение личной информации	Пользователь сможет безопасно хранить свои данные в системе, что повысит удобство доступа и управления информацией.
Система должна отображать личную информацию в графическом пользовательском интерфейсе	Пользователь сможет легко визуализировать и управлять своей информацией через удобный интерфейс, что упрощает взаимодействие с приложением.
Система должна быть разработана так, чтобы иметь короткое время отклика для открытия веб-приложения, запрашивающего данные пользователя и загрузки личной идентифицируемой информации в профиль	Пользователь будет получать быстрее необходимую информацию, что улучшает общий опыт взаимодействия с системой.
Система должна иметь высокую скорость обработки запросов работы и услуг пользователя, чтобы результаты отображались без особой задержки	Пользователь сможет быстро получать результаты запросов, что повышает эффективность работы с системой.
Система должна предоставлять доступ, когда пользователю необходимо проверить общедоступные записи об индивидууме	Пользователь сможет легко находить нужные записи, что упрощает процесс поиска информации.
Система должна предложить короткое время передачи данных между сайтом социальной сети и Selenium	Пользователь будет получает результаты быстро, что улучшает эффективность тестирования и взаимодействия с веб-сервисами.
Система должна иметь высокую удобство использования с простым графическим интерфейсом, в котором пользователь будет вводить только поисковый запрос, так как Selenium будет общаться с сайтом социальных сетей	Пользователь сможет быстро и интуитивно находить нужную информацию, что значительно упрощает процесс работы с приложением.
Система должна иметь небольшую кривую обучения для пользователей, чтобы получить приложение	Пользователь сможет легко освоиться с функционалом системы, что повысит общую удовлетворенность.
Система должна облегчить отслеживание деятельности человека после совершения преступления	Пользователь будет иметь возможность эффективно собирать и анализировать информацию, что поможет в расследованиях и обеспечении безопасности.
Система должна получить доступ к личной информации, чтобы следователи могли реконструировать преступное событие после того, как это произойдет	Пользователь (следователь) сможет эффективно собирать важные данные для анализа, что поможет в расследовании преступных дела.
Система должна получить доступ к профилю, из которого PII скрещивается и отображается на графическом пользовательском интерфейсе	Пользователь сможет быстро находить и визуализировать информацию о личных идентифицируемых данных, что повышает удобство работы.
Система должна иметь возможность генерировать коды USSD для транзакции	Пользователь сможет инициировать транзакции с помощью простых и быстрых кодов, что упрощает процесс.
Система должна быть в состоянии отправлять сообщения на целевой номер	Пользователь сможет общаться с другими пользователями или системами, что повышает эффективность взаимодействия.
Система должна быть в состоянии защитить сообщения путем их шифрования	Пользователь сможет быть уверен в безопасности передаваемой информации, что снижает риск утечки данных.
Система должна сохранять историю транзакций в безопасной базе данных	Пользователь сможет отслеживать свои действия и результаты, что позволяет вести учет и анализ транзакций.
Система должна ограничивать попытки пароля только до трех	Пользователь будет защищен от атаки грубой силы, что повышает безопасность его учетной записи.
Система должна соблюдать законы, регулирующие технологию, которые будут использоваться	Пользователь сможет быть уверен, что система работает в рамках законодательства, что предотвращает возможные юридические последствия.
Система должна быть в состоянии прекратить транзакцию после девяноста секунд отсутствия ответа	Пользователь будет защищен от незавершенных операций, что обеспечивает надежность и скорость работы системы.
Система должна иметь возможность выполнять аутентификацию пользователя через имя пользователя и пароль	Пользователь сможет безопасно входить в систему, используя свои учетные данные, что упрощает доступ к личной информации.
Система позволит пользователю иметь функциональную учетную запись в корпоративном приложении	Пользователь сможет легко создавать и управлять своей учетной записью, что обеспечивает доступ к необходимым функциям и ресурсам.
Алгоритм классификации должен быть применен, чтобы определить вероятность мошенничества претензии	Пользователь получит более точные результаты анализа рисков, что повысит безопасность обработки претензий.
Система должна отметить претензию, оценка которого превышает порог	Пользователь будет информирован о подозрительных претензиях, что поможет в принятии оперативных мер по их проверке.
Система должна быть доступна для пользователей через веб-портал HTTPS	Пользователь сможет безопасно получить доступ к системе через защищенное соединение, что гарантирует безопасность данных.
Система должна позволить пользователям загружать отчеты	Пользователь сможет быстро и удобно делиться информацией с другими, что улучшает взаимодействие и обмен данными.
Система должна быть в состоянии постоянно функционировать по желанию	Пользователь сможет использовать систему в любое время без перерывов, что повышает доступность и эффективность работы.
Предложенная логистика системы легко доступна, следовательно, ее доступность гарантируется при и по мере необходимости	Пользователь сможет оперативно получать доступ к всем необходимым ресурсам, что повышает общую удовлетворенность.
Введенная информация изменяется только пользователем после проверки подлинности для предотвращения несанкционированного доступа	Пользователь будет уверен в безопасности своих данных, поскольку нельзя будет вносить изменения без подтверждения.
Способ, которым функции системы должны быть простыми и прямыми для пользователей системы	Пользователь сможет легко понимать и использовать функционал системы, что минимизирует необходимость в дополнительном обучении.
Система должна иметь очень быстрое время отклика на действия пользователя	Пользователь сможет быстро получать результаты своих действий, что улучшает общий опыт взаимодействия с системой.
Разрешения на доступ к системным данным должны быть изменены только администратором данных системы	Пользователь будет уверен, что контроль над данными остается у лиц, отвечающих за безопасность, что минимизирует риск несанкционированного доступа.
Система должна уйти после установленного периода бездействия	Пользователь не будет беспокоиться о нежелательном доступе к своей учетной записи, если не происходит активного использования системы.
Система должна быть в состоянии обеспечить соблюдение конфиденциальности данных путем шифрования данных во время передачи	Пользователь сможет быть уверенным, что его данные защищены на всех этапах передачи, что поддерживает конфиденциальность.
Предлагаемая система может хорошо работать в веб-средах, а также с огромными файлами	Пользователь сможет эффективно работать с большими объемами данных без потери производительности или доступности.
Система должна позволить нескольким клиентам входить в систему и загружать файлы	Пользователь сможет сотрудничать с другими пользователями, что улучшает совместную работу и обмен данными.
Система должна быть простой в использовании, учитывая, что действия и элементы интерфейса должны быть последовательными	Пользователь сможет легко разобраться в интерфейсе, что улучшает общий опыт использования системы.
Система должна убедиться, что сообщения об ошибках передаются пользователю или администратору	Пользователь будет в курсе проблем, что позволяет быстро реагировать на возникшие ошибки.
